DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2015-04-16 15:00:00,7707.8,7652.4,7652.4,20150500,20150600,20150600
2015-04-17 15:00:00,7758.2,7674.8,7674.8,20150500,20150600,20150600
2015-04-20 15:00:00,7622.2,7505.0,7505.0,20150500,20150600,20150600
2015-04-21 15:00:00,8140.4,8075.0,8075.0,20150500,20150600,20150600
2015-04-22 15:00:00,8189.8,8126.6,8126.6,20150500,20150600,20150600
2015-04-23 15:00:00,8265.6,8204.0,8204.0,20150500,20150600,20150600
2015-04-24 15:00:00,8327.2,8240.0,8240.0,20150500,20150600,20150600
2015-04-27 15:00:00,8347.2,8262.6,8262.6,20150500,20150600,20150600
2015-04-28 15:00:00,8147.0,8054.0,8054.0,20150500,20150600,20150600
2015-04-29 15:00:00,8302.2,8209.0,8209.0,20150500,20150600,20150600
2015-04-30 15:00:00,8338.8,8234.6,8234.6,20150500,20150600,20150600
2015-05-04 15:00:00,8347.2,8226.4,8226.4,20150500,20150600,20150600
2015-05-05 15:00:00,8145.0,8019.4,8019.4,20150500,20150600,20150600
2015-05-06 15:00:00,8040.8,7933.0,7933.0,20150500,20150600,20150600
2015-05-07 15:00:00,7911.4,7834.4,7834.4,20150500,20150600,20150600
2015-05-08 15:00:00,8171.2,8085.0,8085.0,20150500,20150600,20150600
2015-05-11 15:00:00,8489.8,8394.0,8394.0,20150500,20150600,20150600
2015-05-12 15:00:00,8647.8,8557.6,8557.6,20150500,20150600,20150600
2015-05-13 15:00:00,8695.8,8571.6,8571.6,20150500,20150600,20150600
2015-05-14 15:00:00,8760.4,8603.0,8603.0,20150500,20150600,20150600
2015-05-18 15:00:00,8798.4,8705.6,8705.6,20150600,20150700,20150700
2015-05-19 15:00:00,9120.8,9043.6,9043.6,20150600,20150700,20150700
2015-05-20 15:00:00,9286.8,9203.0,9203.0,20150600,20150700,20150700
2015-05-21 15:00:00,9734.6,9666.6,9666.6,20150600,20150700,20150700
2015-05-22 15:00:00,9741.2,9680.2,9680.2,20150600,20150700,20150700
2015-05-25 15:00:00,9966.6,9912.2,9912.2,20150600,20150700,20150700
2015-05-26 15:00:00,10532.2,10482.2,10482.2,20150600,20150700,20150700
2015-05-27 15:00:00,10552.0,10582.0,10582.0,20150600,20150700,20150700
2015-05-28 15:00:00,9977.2,10059.0,10059.0,20150600,20150700,20150700
2015-05-29 15:00:00,10121.0,10170.0,10170.0,20150600,20150700,20150700
2015-06-01 15:00:00,11025.6,11022.6,11022.6,20150600,20150700,20150700
2015-06-02 15:00:00,11250.4,11312.0,11312.0,20150600,20150700,20150700
2015-06-03 15:00:00,11103.2,11134.4,11134.4,20150600,20150700,20150700
2015-06-04 15:00:00,10869.2,10918.2,10918.2,20150600,20150700,20150700
2015-06-05 15:00:00,10949.0,10944.6,10944.6,20150600,20150700,20150700
2015-06-08 15:00:00,10602.6,10529.8,10529.8,20150600,20150700,20150700
2015-06-09 15:00:00,10700.4,10603.0,10603.0,20150600,20150700,20150700
2015-06-10 15:00:00,10987.8,10853.2,10853.2,20150600,20150700,20150700
2015-06-11 15:00:00,11258.8,11133.8,11133.8,20150600,20150700,20150700
2015-06-12 15:00:00,11427.8,11400.0,11400.0,20150600,20150700,20150700
2015-06-15 15:00:00,11228.6,11222.6,11222.6,20150600,20150700,20150700
2015-06-16 15:00:00,10839.0,10714.2,10714.2,20150600,20150700,20150700
2015-06-17 15:00:00,11033.4,10988.8,10988.8,20150600,20150700,20150700
2015-06-18 15:00:00,10672.6,10585.0,10585.0,20150600,20150700,20150700
2015-06-23 15:00:00,9862.6,9835.0,9835.0,20150700,20150800,20150800
2015-06-24 15:00:00,10058.0,9973.8,9973.8,20150700,20150800,20150800
2015-06-25 15:00:00,9381.6,9259.4,9259.4,20150700,20150800,20150800
2015-06-26 15:00:00,8629.0,8519.4,8519.4,20150700,20150800,20150800
2015-06-29 15:00:00,7768.4,7667.6,7667.6,20150700,20150800,20150800
