DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2015-03-20 15:00:00,97.09,97.435,97.435,20150900,20151200,20151200
2015-03-23 15:00:00,97.02,97.435,97.435,20150900,20151200,20151200
2015-03-24 15:00:00,96.92,97.435,97.435,20150900,20151200,20151200
2015-03-25 15:00:00,96.85,97.5,97.5,20150900,20151200,20151200
2015-03-26 15:00:00,96.37,97.0,97.0,20150900,20151200,20151200
2015-03-27 15:00:00,96.49,96.835,96.835,20150900,20151200,20151200
2015-03-30 15:00:00,96.16,96.675,96.675,20150900,20151200,20151200
2015-03-31 15:00:00,95.65,96.145,96.145,20150900,20151200,20151200
2015-04-01 15:00:00,96.095,96.145,96.145,20150900,20151200,20151200
2015-04-02 15:00:00,96.32,96.695,96.695,20150900,20151200,20151200
2015-04-03 15:00:00,96.01,96.695,96.695,20150900,20151200,20151200
2015-04-07 15:00:00,95.93,96.4,96.4,20150900,20151200,20151200
2015-04-08 15:00:00,95.16,95.55,95.55,20150900,20151200,20151200
2015-04-09 15:00:00,95.265,95.76,95.76,20150900,20151200,20151200
2015-04-10 15:00:00,95.19,95.76,95.76,20150900,20151200,20151200
2015-04-13 15:00:00,95.63,95.8,95.8,20150900,20151200,20151200
2015-04-14 15:00:00,95.57,96.3,96.3,20150900,20151200,20151200
2015-04-15 15:00:00,96.15,96.415,96.415,20150900,20151200,20151200
2015-04-16 15:00:00,96.18,96.415,96.415,20150900,20151200,20151200
2015-04-17 15:00:00,96.3,96.8,96.8,20150900,20151200,20151200
2015-04-20 15:00:00,97.25,97.695,97.695,20150900,20151200,20151200
2015-04-21 15:00:00,97.39,98.085,98.085,20150900,20151200,20151200
2015-04-22 15:00:00,97.42,97.805,97.805,20150900,20151200,20151200
2015-04-23 15:00:00,97.34,97.62,97.62,20150900,20151200,20151200
2015-04-24 15:00:00,97.03,97.35,97.35,20150900,20151200,20151200
2015-04-27 15:00:00,97.76,98.1,98.1,20150900,20151200,20151200
2015-04-28 15:00:00,97.74,98.285,98.285,20150900,20151200,20151200
2015-04-29 15:00:00,97.69,98.09,98.09,20150900,20151200,20151200
2015-04-30 15:00:00,97.955,98.325,98.325,20150900,20151200,20151200
2015-05-04 15:00:00,97.6,98.005,98.005,20150900,20151200,20151200
2015-05-05 15:00:00,97.505,98.005,98.005,20150900,20151200,20151200
2015-05-06 15:00:00,97.155,97.48,97.48,20150900,20151200,20151200
2015-05-07 15:00:00,97.2,97.6,97.6,20150900,20151200,20151200
2015-05-08 15:00:00,97.45,97.95,97.95,20150900,20151200,20151200
2015-05-11 15:00:00,97.32,97.895,97.895,20150900,20151200,20151200
2015-05-12 15:00:00,96.99,97.48,97.48,20150900,20151200,20151200
2015-05-13 15:00:00,97.225,97.7,97.7,20150900,20151200,20151200
2015-05-14 15:00:00,97.1,97.805,97.805,20150900,20151200,20151200
2015-05-15 15:00:00,97.185,97.71,97.71,20150900,20151200,20151200
2015-05-18 15:00:00,96.705,97.32,97.32,20150900,20151200,20151200
2015-05-19 15:00:00,96.56,97.145,97.145,20150900,20151200,20151200
2015-05-20 15:00:00,96.88,97.345,97.345,20150900,20151200,20151200
2015-05-21 15:00:00,96.675,97.21,97.21,20150900,20151200,20151200
2015-05-22 15:00:00,96.74,97.39,97.39,20150900,20151200,20151200
2015-05-25 15:00:00,96.52,97.1,97.1,20150900,20151200,20151200
2015-05-26 15:00:00,95.66,96.21,96.21,20150900,20151200,20151200
2015-05-27 15:00:00,95.8,96.32,96.32,20150900,20151200,20151200
2015-05-28 15:00:00,95.0,95.775,95.775,20150900,20151200,20151200
2015-05-29 15:00:00,94.92,95.5,95.5,20150900,20151200,20151200
2015-06-01 15:00:00,94.215,94.765,94.765,20150900,20151200,20151200
2015-06-02 15:00:00,94.99,95.56,95.56,20150900,20151200,20151200
2015-06-03 15:00:00,95.06,95.6,95.6,20150900,20151200,20151200
2015-06-04 15:00:00,94.91,95.47,95.47,20150900,20151200,20151200
2015-06-05 15:00:00,95.3,95.88,95.88,20150900,20151200,20151200
2015-06-08 15:00:00,95.56,96.08,96.08,20150900,20151200,20151200
2015-06-09 15:00:00,95.475,96.075,96.075,20150900,20151200,20151200
2015-06-10 15:00:00,94.98,95.535,95.535,20150900,20151200,20151200
2015-06-11 15:00:00,94.83,95.39,95.39,20150900,20151200,20151200
2015-06-12 15:00:00,94.62,95.16,95.16,20150900,20151200,20151200
2015-06-15 15:00:00,94.205,94.8,94.8,20150900,20151200,20151200
2015-06-16 15:00:00,95.13,95.58,95.58,20150900,20151200,20151200
2015-06-17 15:00:00,94.96,95.425,95.425,20150900,20151200,20151200
2015-06-18 15:00:00,95.25,95.795,95.795,20150900,20151200,20151200
2015-06-19 15:00:00,95.02,95.49,95.49,20150900,20151200,20151200
2015-06-23 15:00:00,94.91,95.46,95.46,20150900,20151200,20151200
2015-06-24 15:00:00,94.885,95.4,95.4,20150900,20151200,20151200
2015-06-25 15:00:00,94.8,95.26,95.26,20150900,20151200,20151200
2015-06-26 15:00:00,94.715,95.205,95.205,20150900,20151200,20151200
2015-06-29 15:00:00,94.535,95.055,95.055,20150900,20151200,20151200
2015-06-30 15:00:00,94.755,95.21,95.21,20150900,20151200,20151200
2015-07-01 15:00:00,94.645,95.13,95.13,20150900,20151200,20151200
2015-07-02 15:00:00,94.61,95.035,95.035,20150900,20151200,20151200
2015-07-03 15:00:00,95.22,95.6,95.6,20150900,20151200,20151200
2015-07-06 15:00:00,95.92,96.285,96.285,20150900,20151200,20151200
2015-07-07 15:00:00,96.28,96.845,96.845,20150900,20151200,20151200
2015-07-08 15:00:00,95.8,96.4,96.4,20150900,20151200,20151200
2015-07-09 15:00:00,96.15,96.7,96.7,20150900,20151200,20151200
2015-07-10 15:00:00,95.95,96.485,96.485,20150900,20151200,20151200
2015-07-13 15:00:00,95.72,96.385,96.385,20150900,20151200,20151200
2015-07-14 15:00:00,95.575,96.075,96.075,20150900,20151200,20151200
2015-07-15 15:00:00,95.445,95.87,95.87,20150900,20151200,20151200
2015-07-16 15:00:00,95.75,96.2,96.2,20150900,20151200,20151200
2015-07-17 15:00:00,95.8,96.26,96.26,20150900,20151200,20151200
2015-07-20 15:00:00,95.75,96.22,96.22,20150900,20151200,20151200
2015-07-21 15:00:00,95.54,95.98,95.98,20150900,20151200,20151200
2015-07-22 15:00:00,95.63,96.045,96.045,20150900,20151200,20151200
2015-07-23 15:00:00,95.91,96.335,96.335,20150900,20151200,20151200
2015-07-24 15:00:00,95.86,96.36,96.36,20150900,20151200,20151200
2015-07-27 15:00:00,96.04,96.45,96.45,20150900,20151200,20151200
2015-07-28 15:00:00,96.03,96.5,96.5,20150900,20151200,20151200
2015-07-29 15:00:00,96.11,96.55,96.55,20150900,20151200,20151200
2015-07-30 15:00:00,95.98,96.44,96.44,20150900,20151200,20151200
2015-07-31 15:00:00,95.545,96.045,96.045,20150900,20151200,20151200
2015-08-03 15:00:00,95.555,96.03,96.03,20150900,20151200,20151200
2015-08-04 15:00:00,95.71,96.125,96.125,20150900,20151200,20151200
2015-08-05 15:00:00,95.605,96.01,96.01,20150900,20151200,20151200
2015-08-06 15:00:00,95.875,96.205,96.205,20150900,20151200,20151200
2015-08-07 15:00:00,95.915,96.25,96.25,20150900,20151200,20151200
2015-08-10 15:00:00,95.675,95.975,95.975,20150900,20151200,20151200
2015-08-11 15:00:00,95.19,95.455,95.455,20150900,20151200,20151200
2015-08-12 15:00:00,95.33,95.615,95.615,20150900,20151200,20151200
2015-08-13 15:00:00,95.325,95.52,95.52,20150900,20151200,20151200
2015-08-14 15:00:00,95.64,96.115,95.475,20151200,20160300,20150900
2015-08-17 15:00:00,95.32,95.775,95.12,20151200,20160300,20150900
2015-08-18 15:00:00,95.485,95.9,95.505,20151200,20160300,20150900
2015-08-19 15:00:00,95.37,95.65,95.465,20151200,20160300,20150900
2015-08-20 15:00:00,95.45,95.7,95.45,20151200,20160300,20150900
2015-08-21 15:00:00,95.52,95.75,95.49,20151200,20160300,20150900
